Date,Open,High,Low,Close,Volume
01/03/2018,69.001999,69.734001,66.014,66.185997,34428000
02/03/2018,65.396004,67.043999,64.594002,67.024002,25464000
05/03/2018,66.477997,67.550003,65.858002,66.669998,19119000
06/03/2018,66.75,67.274002,65.405998,65.639999,21428500
07/03/2018,65.087997,66.5,64.348,66.459999,25036500
08/03/2018,66.571999,66.660004,65.253998,65.82,17831000
09/03/2018,64.82,65.697998,64.473999,65.433998,27534000
12/03/2018,65.722,69.442001,65.300003,69.101997,41320000
13/03/2018,65.722,69.442001,65.300003,68.367996,29829000
14/03/2018,67.351997,67.961998,64.786003,65.325996,39837000
15/03/2018,65.875999,66.57,64.220001,65.120003,32824000
16/03/2018,64.585999,65.480003,63.813999,64.269997,30586500
19/03/2018,63.299999,64.150002,61.933998,62.712002,37421500
20/03/2018,62.973999,63.25,61.751999,62.110001,23821500
21/03/2018,62.049999,64.487999,62.037998,63.306,29792000
22/03/2018,62.778,63.764,61.636002,61.82,24699000
23/03/2018,62.25,62.25,60.09,60.307999,33274500
26/03/2018,61.467999,61.518002,58.271999,60.835999,41876000
27/03/2018,60.799999,60.854,55.436001,55.835999,69360000
28/03/2018,52.916,53.736,50.419998,51.556,105007000
29/03/2018,51.298,54.192001,49.641998,53.226002,75853500
02/04/2018,51.251999,52.066002,48.917999,50.495998,80570000
03/04/2018,53.964001,54.669998,50.897999,53.506001,94222000
04/04/2018,50.556,57.674,50.400002,57.388,99483500
05/04/2018,57.868,61.251999,57.639999,61.144001,95605500
06/04/2018,60.200001,61.855999,59.099998,59.860001,67601500
09/04/2018,60.074001,61.900002,57.841999,57.931999,51249000
10/04/2018,59.793999,61.419998,58.736,60.939999,54949000
11/04/2018,60.147999,61.796001,59.931999,60.186001,37414500
12/04/2018,60.464001,60.790001,58.736,58.816002,38044000
13/04/2018,60.720001,60.790001,59.195999,60.068001,36636000
16/04/2018,59.799999,59.931999,57.801998,58.242001,31692500
17/04/2018,57.773998,58.433998,56.501999,57.537998,35000000
18/04/2018,58.216,60.048,57.632,58.669998,32788500
19/04/2018,58.216,60.202,57.709999,60.015999,30453000
20/04/2018,59.034,59.995998,57.950001,58.048,28139500
23/04/2018,58.257999,58.324001,56.466,56.674,24467000
24/04/2018,57,57.417999,55.692001,56.692001,28426500
25/04/2018,56.700001,57.032001,55.450001,56.138,20068000
26/04/2018,55.75,57.158001,55.299999,57.096001,21780000
27/04/2018,57.074001,58.894001,56.765999,58.816002,21823000
30/04/2018,58.722,59.745998,58.5,58.779999,21141000
01/05/2018,58.702,60.164001,58.644001,59.984001,23128000
02/05/2018,59.714001,61.369999,59.556,60.23,44852000
03/05/2018,55.757999,57.608002,55.046001,56.889999,86760500
04/05/2018,56.599998,59.372002,55.903999,58.818001,42847000
07/05/2018,59.5,61.192001,59.034,60.554001,43391000
08/05/2018,60.16,61.549999,59.799999,60.394001,29650000
09/05/2018,60.082001,61.402,60.009998,61.369999,28637000
10/05/2018,61.5,62.598,60.821999,61.004002,28258000
11/05/2018,61.540001,61.776001,59.816002,60.212002,23398000
14/05/2018,60.664001,60.987999,58.324001,58.394001,36434000
15/05/2018,57.001999,57.391998,56.099998,56.835999,47596000
16/05/2018,56.765999,57.762001,56.312,57.296001,28370000
17/05/2018,57.18,57.838001,56.793999,56.908001,22103000
18/05/2018,56.93,56.93,54.799999,55.363998,36259500
21/05/2018,56.265999,58.298,56.259998,56.897999,45913000
22/05/2018,57.551998,57.599998,54.683998,55.001999,44729000
23/05/2018,55.551998,55.981998,54.799999,55.813999,29925500
24/05/2018,55.68,56.222,54.978001,55.57,20883500
25/05/2018,55.526001,55.928001,55.122002,55.77,19375500
29/05/2018,55.702,57.299999,55.23,56.751999,28333000
30/05/2018,56.658001,59.001999,56.32,58.344002,37448500
31/05/2018,57.442001,58.074001,56.585999,56.945999,29598500
01/06/2018,57.172001,58.389999,56.768002,58.363998,27122000
04/06/2018,58.868,59.799999,58.709999,59.348,23989000
05/06/2018,59.540001,59.560001,57.348,58.226002,29976000
06/06/2018,60.099998,64.433998,59.495998,63.900002,93836500
07/06/2018,63.23,66,62.716,63.217999,71726500
08/06/2018,63.799999,64.896004,63.43,63.532001,41026000
11/06/2018,64.501999,66.931999,64.5,66.419998,65917500
12/06/2018,68.940002,70.994003,67.599998,68.554001,111737000
13/06/2018,69.342003,69.440002,67.959999,68.956001,47349000
14/06/2018,69.526001,71.75,69.32,71.543999,54905000
15/06/2018,70.767998,72.933998,70.25,71.634003,54241500
18/06/2018,71.080002,74.746002,70.900002,74.166,60366000
19/06/2018,73.031998,74,69.25,70.510002,63809500
20/06/2018,71.608002,72.875999,70.400002,72.444,41918500
21/06/2018,72.400002,73.241997,69.253998,69.501999,39835500
22/06/2018,70.307999,70.449997,66.400002,66.725998,51330500
25/06/2018,66.024002,67.694,65.5,66.601997,34656500
26/06/2018,67.209999,68.709999,65.160004,68.400002,37262500
27/06/2018,69,70.157997,67.900002,68.900002,41668500
28/06/2018,69.732002,71.403999,69.222,69.986,41990000
29/06/2018,70.666,70.772003,68.482002,68.589996,32462000
02/07/2018,72.014,72.956001,65.970001,67.014,93799000
03/07/2018,66.349998,66.498001,61.938,62.172001,61413000
05/07/2018,62.751999,62.877998,59.243999,61.832001,87382000
06/07/2018,60.990002,62.414001,60.400002,61.779999,44327500
09/07/2018,62.397999,63.703999,61.599998,63.702,37984000
10/07/2018,64.912003,65.536003,63.84,64.494003,47357500
11/07/2018,63.16,64.388,63.014,63.792,24420500
12/07/2018,64.286003,64.646004,62.554001,63.341999,28606000
13/07/2018,63.116001,63.916,61.849998,63.773998,29349000
16/07/2018,62.341999,63.032001,61.25,62.02,39093500
17/07/2018,61.762001,64.947998,61.700001,64.538002,34981000
18/07/2018,65,65.099998,63.25,64.769997,28121000
19/07/2018,63.265999,64.708,62.801998,64.045998,29576500
20/07/2018,64.246002,64.648003,62.341999,62.716,25811000
23/07/2018,60.368,61.099998,58.571999,60.639999,54964500
24/07/2018,60.883999,61.543999,58.509998,59.486,47954000
25/07/2018,59.348,61.924,58.900002,61.748001,35377000
26/07/2018,60.970001,62.139999,60.728001,61.330002,23152500
27/07/2018,61.450001,61.537998,59.068001,59.436001,28516500
30/07/2018,59.18,59.220001,57.226002,58.034,34070500
31/07/2018,58.450001,59.664001,57.813999,59.627998,25384500
01/08/2018,59.598,60.599998,58.599998,60.167999,50647000
02/08/2018,65.688004,69.998001,64.632004,69.907997,116075000
03/08/2018,69.561996,71,68.505997,69.634003,68282500
06/08/2018,69.092003,70.996002,68.363998,68.398003,42821500
07/08/2018,68.767998,77.491997,67.830002,75.914001,154379000
08/08/2018,73.818001,76.528,73.424004,74.068001,122856000
09/08/2018,73.110001,73.402,69.146004,70.489998,85919000
10/08/2018,70.800003,72,69.199997,71.098,57760000
13/08/2018,72.225998,72.638,69.804001,71.281998,52319500
14/08/2018,71.690002,71.839996,69.419998,69.528,34932000
15/08/2018,68.382004,68.898003,66.428001,67.737999,45506500
16/08/2018,67.982002,68.456001,66.764,67.089996,30320000
17/08/2018,64.699997,65.353996,60.706001,61.099998,94793000
20/08/2018,58.34,61.700001,57.639999,61.688,87011500
21/08/2018,62.122002,64.958,61.799999,64.379997,65861000
22/08/2018,64.174004,64.776001,62.933998,64.328003,29730000
23/08/2018,63.827999,65.463997,63.619999,64.019997,25736500
24/08/2018,64.139999,64.769997,63.880001,64.564003,18013000
27/08/2018,63.599998,64.487999,61.762001,63.854,65396500
28/08/2018,63.681999,63.776001,62.237999,62.372002,38245500
29/08/2018,62.054001,62.369999,60.737999,61.001999,37237000
30/08/2018,60.452,60.919998,59.543999,60.630001,36083500
31/08/2018,60.400002,61.062,59.720001,60.332001,26875500
04/09/2018,59.388,59.638,57.599998,57.790001,41752500
05/09/2018,57.009998,57.355999,55.436001,56.147999,38604000
06/09/2018,56.959999,58.234001,55.776001,56.189999,37404000
07/09/2018,52.02,53.669998,50.450001,52.647999,112459500
10/09/2018,54.652,57.206001,54.200001,57.099998,71417500
11/09/2018,55.894001,56.400002,54.709999,55.888,45850000
12/09/2018,56.287998,58.5,55.73,58.108002,50077000
13/09/2018,57.604,59,57.035999,57.891998,31701500
14/09/2018,57.751999,59.466,57.304001,59.040001,33828000
17/09/2018,58.007999,60.174,57.625999,58.967999,34438000
18/09/2018,59.338001,60.528,55.099998,56.992001,82737500
19/09/2018,56.102001,60,56.099998,59.804001,41474500
20/09/2018,60.712002,61.195999,58.666,59.666,36747000
21/09/2018,59.540001,60.116001,59.074001,59.82,25252500
24/09/2018,59.695999,60.599998,58.716,59.936001,24215000
25/09/2018,60,60.919998,59.299999,60.198002,22408500
26/09/2018,60.382,62.778,60.222,61.916,39216000
27/09/2018,62.580002,62.992001,61.382,61.504002,42545500
28/09/2018,54.051998,55.599998,52.112,52.953999,168248500
01/10/2018,61.153999,62.287998,60.209999,62.139999,108888000
02/10/2018,62.790001,63.368,59.830002,60.203999,58717500
03/10/2018,60.666,60.919998,58.313999,58.959999,39975000
04/10/2018,58.790001,58.799999,55.534,56.366001,49071000
05/10/2018,54.93,54.976002,52,52.389999,89722500
08/10/2018,52.903999,53.551998,49.799999,50.112,67363500
09/10/2018,51.049999,53.354,50.66,52.560001,60303000
10/10/2018,52.922001,53.102001,49.554001,51.375999,64076500
11/10/2018,51.506001,52.450001,49.806,50.445999,40838500
12/10/2018,52.200001,52.397999,50.402,51.756001,36007000
15/10/2018,51.812,52.655998,50.908001,51.917999,31000000
16/10/2018,53.139999,55.476002,52.448002,55.318001,47632000
17/10/2018,56.48,56.540001,53.16,54.355999,43277500
18/10/2018,53.858002,54.200001,52.599998,52.782001,27106000
19/10/2018,53.478001,53.931999,50.700001,52,46877500
22/10/2018,52.136002,52.372002,50.518002,52.189999,28001500
23/10/2018,52.773998,59.585999,52.419998,58.827999,95139000
24/10/2018,60.209999,60.888,57.146,57.700001,100291500
25/10/2018,63.444,64.199997,60.202,62.972,104203500
26/10/2018,61.650002,67.980003,61.330002,66.18,137127500
29/10/2018,67.494003,69.431999,65.300003,66.970001,72430000
30/10/2018,65.678001,67.580002,64.452003,65.980003,45633500
31/10/2018,66.508003,68.400002,65.82,67.463997,38121500
01/11/2018,67.652,69.568001,66.945999,68.856003,40000500
02/11/2018,68.748001,69.839996,68.181999,69.281998,39040000
05/11/2018,68.099998,68.792,66.028,68.279999,39155000
06/11/2018,67.814003,69.760002,67.218002,68.211998,33814500
07/11/2018,68.667999,70.236,68.160004,69.632004,36872500
08/11/2018,69.699997,71.515999,69.688004,70.279999,35453500
09/11/2018,69.800003,70.800003,69.045998,70.101997,25494000
12/11/2018,69.674004,69.956001,66.068001,66.255997,34707500
13/11/2018,66.632004,68.940002,66.440002,67.746002,27243000
14/11/2018,68.540001,69.421997,67.43,68.800003,25201500
15/11/2018,68.466003,69.716003,67.807999,69.688004,23128500
16/11/2018,69.038002,71.139999,69.024002,70.862,36031000
19/11/2018,71.267998,73.349998,70.575996,70.694,48544500
20/11/2018,68.349998,69.959999,66.709999,69.498001,40023500
21/11/2018,70.400002,70.620003,67.480003,67.638,23434000
23/11/2018,66.870003,67.5,65.110001,65.166,21013000
26/11/2018,65,69.244003,65,69.199997,39960500
27/11/2018,68.010002,69.391998,67.099998,68.783997,31791500
28/11/2018,69.197998,69.655998,68.442001,69.573997,20638000
29/11/2018,69.400002,69.5,67.910004,68.234001,15403500
30/11/2018,68.365997,70.32,67.652,70.096001,28145500
03/12/2018,72,73.199997,70.400002,71.697998,41532500
04/12/2018,71.209999,73.736,70.400002,71.940002,42309500
06/12/2018,71.202003,73.475998,70.152,72.612,39212500
07/12/2018,73.800003,75.898003,71.529999,71.594002,57556000
10/12/2018,72,73.195999,70.624001,73.029999,33067500
11/12/2018,73.982002,74.433998,72.045998,73.351997,31544000
